,title,rating,content
0,"
Premium phone at budget price, loved it
",5,"Points to know before buying, got it for 17k: 1. Ui and updates 4.5/5, it's smooth and responsive no complains 2. Camera 4.6/5, comparable with Samsung midrange phones 3. Battery 4.2/5, I charge my phone upto 80% It takes around 45 min for..."
1,"
Best 16k phone
",5,"Absolute value for money mobile phone. Snappy interface, monstrous battery(Screenshot attached - Without SIM). Good set of cameras. Clean One UI. Samsung wallet feature. Good in hand feel."
2,"
Overall very good phone, 25w is -ve comapred to competitors.
",4,"Everything about this phone is great: the display, camera, speed, and battery life. The only drawback is the slow charging speed it charges at 25W, which is quite low compared to the competition, as even phones priced at 10,000 INR now feature 33W fast charging. If this..."
3,"
Great product with great deal
",5,Bought it with exchange offer during prime day sell. Performance is good. Mainly using it for listening to music. Audio quality is good. Camera is also decent. Feels bulky and sturdy. Battery backup is just awesome. Call quality is also good wherein if you put call over...
4,"
Display and sound is superb. Camera is just average
",3,Display is best as usual for samsung phones. Sound is also good as it supports Dolby Atmos. I am somewhat disappointed with the camera. My galaxy M31 shoots far better photos than this M35. Details are missing in photos. Phone is also too heavy to be managed by one hand...
5,"
Really solid performer at this price point
",5,"There are many phones available at this price range, it's really confusing which one to buy 😕 Had my eyes on OnePlus nord 3 as it was selling at 19k few days back ....but changed my mind after getting reminded about the infamous green line issue of OnePlus devices😂..."
6,"
Love the samsung brand
",5,Samaung brand is everything for phones and tv. M35 is handy phone inspite of its size and weight. Display is good. Camera is good. Battery performance is good. I have been using m30s for 5 years. I loved it. Thats why i go with M series. M35 is perfect choice. Go for it.
7,"
Decent product according  to 16k price
",3,Battery backup n super amoled screen could hv been better! Charging speed is slow plus battery consumption is more even with day to day activity Even though screen is super amoled it feels like some cheap blurry screen specially when consuming youtube or...
8,"
Very good display, connectivity, no heating
",4,"This phone is very good first time before purchasing i was thinking about heat and lags, but after buying I've not seen those. Battery backup purpouse i bouth it, writing from this mobile also. Battery is little bit disappointing, it should go atleast 1.5 days. I'm not..."
9,"
So far so good
",5,"Bought this phone with a bit of trepidation because 3 of the 7 Samsung phones I have bought prior to this one - either for myself or family - have developed a screen issue, Although only one was serious enough to require a visit to the service center. Thought of switching..."
10,"
Decent phone
",4,"YouTube 2160 60fps is not supported in this device.
Device is bulky and heavy"
11,"
Satisfied
",4,Good for normal use. Selfie camera is below average.
12,"
Average phone
",4,Go for display and samsung one ui software. Camera is average. Phone has more weight.
13,"
Velu for money
",4,"Best samsung mobail , hardware and software"
14,"
Everything is good except charging speed
",4,Why only 25w charging speed it should be 100 like other phones.No charger provided
15,"
Value for money
",4,Overall performance good
16,"
Amazing
",5,"It's works just as they advertised it . THE DISPLAY is really good , after all it's a SAMSUNG OLED panel , the colour and viewing angles are astonishing . THE SOUND is crisp it's not too loud , it's on the comforting side but it is very crisp and it..."
17,"
best budget phone till now from sumsung
",5,just go for it if you want it for normal usage/business use. overall balanced phone with loads of useful features plus good software support /experience and made in India! {not for heavy gaming bros}people complaining about weight but after few days you wont notice the...
18,"
Almost Paisa Vasool phone
",5,"i got my phone on 21st July 2024 Samsung Galaxy M35 5G , 6GB & 128 GB (DayBreak Blue). After using my phone for 5 days i m writing this review.. This is a great value for money phone. The screen is fluid ,punchy and razor sharp with good brightness even in..."
19,"
Good phone under 20k
",5,Overall a very good phone. Bought for my mom & she is happy with the performance. Screen & build quality is also good. Battery backup last easily for 1.5 days for moderate user. Dual speakers are load clear & great. Camera is also good with all basic & fun...
20,"
value for money purchase
",5,"bought this for my mother , got the 256 gb version for 19 k during sale, the device is sturdy, battery backup is easily 1.5 days, camera images quite good for a device at this range, sharp voice output, vivid display. heating issue is minor its better if you dont play games..."
21,"
Fabulous Mobile in Budget Price
",5,I bought this mobile for my father and he was so happy to get this mobile. I am pointing out some major things about this mobile. 1) Camera - Good in this budget price. It has Sony sensor so capturing good quality photos. 4/5 2) Display - Super Amoled with...
22,"
Samsung m35
",5,Best budget phone under 16k . Good camera Good screen Good battery backup Good sound Weight is littile more compare to other phone buy you will feel someting strong in your hand. Back panel looks cool. It feel hot when you use phone...
23,"
Mixed feelings...
",3,"This mobile's battery performance is disappointing, as it drains quickly. My previous Vivo V21 had excellent battery life. Additionally, this mobile heats up during normal activities like watching YouTube videos. On the positive side, the camera quality is decent for the..."
24,"
Best beast under 20K
",5,"This is a good ""Beast"" mobile under 20k (my configuration: 8 GB/128 GB). I bought this for my wife and she is comparing it with her previous mobile S20FE and giving it 5/5. Best product for normal day-to-day usage with a bigger battery, great display, and good camera setup...."
25,"
Takes too much time to charge
",3,"Purchased in prime day sale. Everything is fine. As Charger has not been provided by Samsung, So, I am charging it with the my old device Charger, which is 33W type A-C. It takes three hours to reach from 10 % to 100%. This is the biggest problem I am facing with this..."
26,"
Great deal 👌
",5,"It works amazingly great. Love the finish even though has a plastic back ,but gives a premium vibe Wille holding . Overall phone and specs are good but I found some bugs here and there (as it is freshly launched) , but will surely get fixed in the upcoming updates by Samsung"
27,"
Monster # Satisfied # Good Model.
",5,"The Galaxy M35 5g big Monster
Design. 4/5
Display . 4.5/5
Camera 📷 4/5
Performance. 5/5
Battery backup🔋. 5/5
Gorilla victus+ Glass
Feel better than reviewed videos.
Iam using Galaxy M51 from 4 years almost."
28,"
Good phone and Amazon offer
",5,"Good midrange phone below 20k range hope samsung will give stable 4yr updates.
Pros :
Battery
OS
Cons :
Ip rating
No inbox charger"
29,"
Good
",5,"Photos clicked are decent, Little bit heavier, charges slowly, no power adaptor given, otherwise good phone."
30,Best camera phone,5,"Smooth display, best selfi and primary camera, look sexy , no leg problem, go ahead with this samsung phone"
31,Good Phone,5,"Can't afford A35 but its ditto like it, casual heating, Exynos Heater Processor won't create issues if you use it casually, No Games, Avoid 120hz, lower the brightness, consistent use of 5g decrease the🔋 life, I get 9hrs, 25w charger charges it in 100minutes"
32,"Very good phone, good looking",5,Phone is good but amazon did not provide any cashback on this which they said to give to the earlier Samsung M series user
33,Best Phone from Samsung,5,"Display 5/5
Camera 3.5/5
Battery 4.5/5
Performance 5/5
Speakers 5/5
Over all experience 4.5/5
Only cons is
25W slow charging
Slow Camera shutter
No charger, no screen guard, no case
Amazon didnot provide a proper invoice mentioning the IMEI number
The outer delivery bag was damaged but I still accepted the parcel. Bill/invoice missing. IMEI number missing on the soft copy invoice"
34,Good phone under budget,5,"I was using m31 and now this is my upgrade in M series only and I've got so many upgrades in one ui , and the ui is very much comfortable."
35,Excellent Device,5,"This is a very good device I am loving this the overall performance, camera , size, screen is very good. I am very much impressed with this master piece from samsung, the best phone of M series."
36,Just go for it 👍,4,"Pros:
Excellent Performance with Exynos 1380 octa-core processor.. 6.6-inch FHD+ Super AMOLED display with a 1080×2340 pixels resolution,120Hz refresh rate,Corning Gorilla Glass Victus+ layer, and 1,000 nits peak brightness. Triple camera setup with a 50MP main camera, an 8MP ultra-wide lens, and a 2MP macro lens.The 13MP front camera is Good.The rear camera can shoot 4K videos at 30fps.6000mAh Battery with Superfast 25W charging speeds..
Dolby Atmos, Knox Vault security, Samsung Wallet, and a vapour cooling chamber &
4 years of OS upgrades and 5 years of security patches with this phone..
Cons:
3.5mm Headphone Jack not available."
37,Don't buy this phone for the camera,3,"Front camera is very low quality.  I am very disappointed.
  Front Camera- 2/5
  Rear Camera - 3/5
  Battery - 3/5
  Performance - 3/5
  Display - 4/5
  Don't buy this phone for the camera 😔😔😔😔😔"
38,For samsung fan,5,Purchased 1week ago.. Front Camara is ok back is good. Currently working smoothly. If you using more then hour feel phone is Heating. Most important adopter is not their with phone. Don't know why Samsung is not providing. This is very disappointment. Hay samsung please re-think on this. Overall a good phone specially for Samsung users.
39,Best in mobile in the price range,5,Best mobile in the price range ... camara is good and performance is good
40,At last punch hole display in budget from Samsung,5,"Display, camera, processor, speakers, network all things are as per Samsung standards. It has NFC so can use samsung wallet for payment. Totally value for money if u can get 256 gb varient at around 20k. A must buy for Samsung fans."
41,Amazing Product At this price point.,5,Just go for it. Don't worry about the bazels or phone weight because you'll hardly notice it. Best phone under this category. Got same delivery in 7 hours amazing service by Amazon.
42,Monster phone 🔥🔥🔥,5,"The phone is good in its segment. Stereo speakers, amoled display with 120 Hz refresh rate, feature rich one ui.
Screen: 4.5/5
Performance: 3.75/5
Battery: 5/5
Camera: 4/5
Build and design: 4/5
But no good lock module support, some bloatware but you can remove most of them."
43,Samsung is Back with their Real Monster,5,"After a long time saw the best beast from Samsung.
Its All Rounder except In Display finger Print under 20k.
In my opinion go for it and buy it..its really Worth...."
44,Killer,5,Battery is awesome and very smooth.. overall good experience... charger should in the box..
45,Excellent mobile at this price range🙂,5,The phone is really good both performance wise and outlook design wise. Im sure this will not disappoint you for any reason. So anybody is looking to buy a mobile phone under 20k. Samsung Galaxy M35 is one among the best choice and you can go for it without any second thought.
46,Excellent,5,"This phone is good in this price range Generally speaking a standard phone.  Battery is obviously very good as this is 6000mAh.I really like the side mounted finger print sensor, good camera quality."
47,Smartphone related view,5,"This smartphone looks very good
Nice camera quality
Features is also good
M35 5g really good phone
I liked this phone I preferred purchase this phone"
48,Best midrange phone.,5,"Nice phone with some premiums touch.
Camera, battery, interface, features are too good & no heating issue.
But some vibrations felt at back while playing music/video.
Overall good phone to buy from Non-Chinese brand."
49,Good phone for normal user,5,"Excellent phone, it's for normal user"
50,Just go for it! Budget + Samsung,5,If you want latest budget Samsung phone then just go for it.
51,Super duper mobile all in one m35 mobile,5,Samsung m35 mobile is very good all round mobile
52,Best Performing Phone Under 20k Budget,5,"Excellent phone with fast charging and very good battery life.
Pros:
• Awesome camera quality
• Large display
• Best Performance
• No hanging issues
• Value for money"
53,Good Phone,5,"Very good camera with excellent screen
Good batery
Long lasting
No heating at all
Best in lite series"
