,title,rating,content
0,"Premium phone at budget price, loved it",5,"Points to know before buying, got it for 17k:
1. Ui and updates 4.5/5, it's smooth and responsive no complains
2. Camera 4.6/5, comparable with Samsung midrange phones
3. Battery 4.2/5, I charge my phone upto 80% It takes around 45 min for it. The charge consumption is a little on the higher side
4. Design 4.5/5, I bought the gray colour phone. It looks premium to me, fun fact its the same color as my macbook. Reviewers are saying it's havy, but I haven't felt it, it's comfortable on the hand
5. Screen 4.1/5, the only reason I gave it a low score is its comparatively thicker bezels. Samsung tried to make the bezels symmetrical, but still the chin is slightly thicker. Other things are good, outdoor brightness is good, easily visible.
6. Sensors and features 4.7/5, It got all the Samsung flagship features like Knox, nfc, dual speakers, it will fill like a premium phone
7. Processor 4/5, for daily usages, its good also can handle havy task. App opening is fast, handle animations as a pro, no lags at all. But not made for long gaming sessions. It will throttle after 1 hr gaming. But at this budget I liked the Processor
Special mention, the speakers are really great, ram management is good and one con is it does not have a ip rating"
1,Best 16k phone,5,"Absolute value for money mobile phone. Snappy interface, monstrous battery(Screenshot attached - Without SIM). Good set of cameras. Clean One UI. Samsung wallet feature. Good in hand feel."
2,"Overall very good phone, 25w is -ve comapred to competitors.",4,"Everything about this phone is great: the display, camera, speed, and battery life. The only drawback is the slow charging speed it charges at 25W, which is quite low compared to the competition, as even phones priced at 10,000 INR now feature 33W fast charging. If this isn't an issue for you, go for it. Another minor downside is that it's a bit large and heavy at 222 grams."
3,Great product with great deal,5,Bought it with exchange offer during prime day sell. Performance is good. Mainly using it for listening to music. Audio quality is good. Camera is also decent. Feels bulky and sturdy. Battery backup is just awesome. Call quality is also good wherein if you put call over speaker voice is crystal clear. Just go for it....
4,Display and sound is superb. Camera is just average,3,Display is best as usual for samsung phones. Sound is also  good as it supports Dolby Atmos. I am somewhat disappointed with the camera. My galaxy M31 shoots far better photos than this M35. Details are missing in photos. Phone is also too heavy to be managed by one hand effortlessly. But the One UI is the best and the most user friendly UI.
5,Really solid performer at this price point,5,"There are many phones available at this price range, it's really confusing which one to buy 😕
Had my eyes on OnePlus nord 3 as it was selling at 19k few days back ....but changed my mind after getting reminded about the infamous green line issue of OnePlus devices😂 then I was about to buy iqoo z9, but was a bit skeptical about it as a Chinese brand and bloatware filled, spyware filled crappy software, then this phone launched at 18th july and went on sale on 20th july, bought it at the first sale...got a generous discount on the mrp!! I bought the 8gb ram 128gb storage model at only ₹11972 after bank discount+ coupon discount+ promo code+ exchanged an 3 year old 4g phone of mine, think it was a pretty good deal.
Pros: great performance, no lag or jitters
Network reception, no complaints.. greatly exploiting unlimited jio 5g 😂 getting upto 1gbps of speeds!
Display - 120hz sAmoled panel,uniform bezels [bit thick but feels really premium because they are uniform] no problems here too..my previous phone was also 120hz amoled , but this phone feels way smoother and well optimized ❤️
Cameras- again blown away by the results!
Way better than my previous phone which had 108mp camera🤷🏻, probably the best camera till date on a M series samsung phone
Comparable to A series.
Battery backup: excellent 👌🏻 getting around 12 hours of SOT on light to medium usage
Charging speed: 0 to 100% in less than 2 [using original 25w samsung charger] hours, it's fine for me as i charge using a 10w charger which won't degrade the battery as soon.
Cons: bit heavy but fine...got used to it in just 2-3 days,
Plastic back panel: missing my old redmi note 10 pro max as it had a beautiful frosted curved glass back 🥲[obviously better than this]
No 3.5 mm headphone jack!! Despite being so thick it doesn't have the headphone jack
Had to buy a type c to 3.5 mm DAC @ ₹209 🤷🏻 yes i still use wired earphones [JBL and Sony] they sound way better than wired ones and have no latency 🌟"
6,Amazing,5,"It's works just as they advertised it .
THE DISPLAY is really good , after all it's a SAMSUNG OLED panel , the colour and viewing angles are astonishing .
THE SOUND is crisp it's not too loud , it's on the comforting side but it is very crisp and it has DOLBY ATMOS support for compatible songs and videos too .
THE PERFORMANCE is very good at this price point , it's not a gaming phone you have to keep that in mind it's an all-around balanced phone that checks all the boxes ... in that sense day to usage the performance is really good and heating isn't an issue the vapour chamber does work well . It keeps the phone cool , however you can absolutely do light gaming on it ... performance is very stable and it doesn't throttle at all .
THE CAMERA is good it takes sharp and detailed images in good conditions and even in low lights the shots are decent ... The colour science on all the 3 cameras (excluding the macro lens) is very consistent . Shots taken are good , portrait mode has decent edge detection . Pictures are vivid and punchy coloured (as expected from SAMSUNG tuning)... Selfie are crisp too skin is almost perfect as the vivids the tones a bit .
THE BATTERY is big changes grade , you can't kill the phone even if you use it all day ... even on heavy usage the phone lasted about a bit short of 1.5 days for me . The charging is capped to 25w but you have to buy the charger separately... but charging speed is fine . No complains on that .
THE BUILD is really good , yes it is plastic frame with acrylic back but it's sturdy af ... front is Corning's Victus+ that's the same on from my Galaxy S22 , it has tougher Crack resistance but it can scratch , so I recommend using a protector film or glass .
Overall the experience is reallllly good for the price I paid for it (₹18499 for 8 ,128GB variant) I will highly recommend this if you want an all-around balanced phone ."
7,Love the samsung brand,5,Samaung brand is everything for phones and tv. M35 is handy phone inspite of its size and weight. Display is good. Camera is good. Battery performance is good. I have been using m30s for 5 years. I loved it. Thats why i go with M series. M35 is perfect choice. Go for it.
8,Decent product according  to 16k price,3,"Battery backup  n super amoled screen could hv been better!
Charging speed is slow plus battery  consumption  is more even with  day to day activity
Even though  screen is super amoled  it feels like some cheap  blurry screen specially  when consuming youtube or netflix
Camera is okay performance  is okay
Disappointed  with samsung as samsung doesn't  provide charger along with this product in india( launched in other countries  with charger ,thn why so partial )
Dont spend 18k on such device, upto 16k  device is fine"
9,"Very good display, connectivity, no heating",4,"This phone is very good first time before purchasing i was thinking about heat and lags, but after buying I've not seen those. Battery backup purpouse i bouth it, writing from this mobile also. Battery is little bit disappointing, it should go atleast 1.5 days.
I'm not a heavy user
Only wp for work purpose and sometime youtube for entertainment.
I've samsung m14 this battery backup is more than it. THAT'S why I can compare those.
If in future samsung upgrade it's battery backup through software then I'll give 5*.
The phone is very good from every side and I like heavy mobiles it feels solid."
